%
@relation Meier500_Normalized.arff

@attribute feature1 REAL
@attribute feature2 REAL
@attribute feature3 REAL
@attribute feature4 REAL
@attribute feature5 REAL
@attribute feature6 REAL
@attribute feature7 REAL
@attribute feature8 REAL
@attribute feature9 REAL
@attribute feature10 REAL
@attribute feature11 REAL
@attribute feature12 REAL
@attribute feature13 REAL
@attribute feature14 REAL
@attribute feature15 REAL
@attribute feature16 REAL
@attribute feature17 REAL
@attribute feature18 REAL
@attribute feature19 REAL
@attribute feature20 REAL
@attribute feature21 REAL
@attribute feature22 REAL
@attribute feature23 REAL
@attribute feature24 REAL
@attribute feature25 REAL
@attribute feature26 REAL
@attribute feature27 REAL
@attribute class {1,2,3,4,5}

@data
-0.6843,-0.68041,-0.65563,-0.67886,-0.66713,-0.68648,-0.43475,-0.69478,0.69372,0.49248,-0.16253,-0.48912,-0.71023,0.28763,-0.645,-0.0027477,-0.72547,0.20486,-0.56716,0.18491,0.67557,0.061791,0.42734,0.67955,-0.38365,-0.51279,-0.82434,1
-0.21344,-0.62272,-0.33151,-0.64893,-0.29375,-0.65671,-0.24565,-0.27986,0.5147,0.0048924,0.21842,-0.21721,-0.68604,-0.38924,0.15669,-0.35579,-0.055979,0.58319,-0.25021,0.55565,0.60702,-0.43922,0.055473,1.0358,-1.1013,-0.31218,-0.57876,3
-0.67068,-0.67598,-0.65279,-0.67487,-0.66075,-0.68435,0.38509,-0.21113,0.7873,0.53655,0.57677,0.23355,-0.49937,0.1159,-0.22879,-0.17107,-0.18893,-0.53564,-0.19607,0.47727,0.42173,0.35813,0.5509,0.82226,-0.66535,-0.7675,-0.77673,1
-0.84773,-0.7026,-0.77646,-0.68883,-0.80276,-0.69711,-1.1439,-0.88875,-1.1413,-1.1879,-1.1622,-1.0947,-0.65368,0.51646,-0.95109,-0.38523,-0.82104,1.4856,-0.73937,-0.1386,0.4453,0.29614,0.67625,0.621,-0.31144,-0.63962,-0.74649,5
-0.23485,-0.62272,-0.42107,-0.64494,-0.38789,-0.6397,1.0623,1.8243,-0.34788,-0.26507,0.22165,1.0558,-0.11808,-0.48705,-0.61087,-0.73313,0.32194,2.044,-1.1934,-0.65115,-0.46675,-0.19401,-0.07259,0.48258,-0.22482,-0.78901,-0.5985,4
-0.74851,-0.68041,-0.69543,-0.68484,-0.715,-0.69073,-1.139,-0.8881,-1.0843,-1.1879,-1.1483,-1.0947,-0.80687,1.8161,-0.44022,1.9914,-0.78829,1.4925,1.0939,1.2816,0.85658,2.7107,1.6239,-0.99258,1.4491,-0.20973,-0.77099,5
-0.63955,-0.48072,-0.74092,-0.67287,-0.72777,-0.62482,-0.59961,-0.69606,-0.53911,-0.56533,-0.664,-0.66579,-0.7472,-0.23661,0.82752,0.75682,-0.2255,-0.36874,1.1987,1.3128,0.84597,-0.29013,0.097747,0.16391,0.35077,-0.51188,-0.78807,1
6.0049,6.4511,6.7635,6.8724,6.7447,6.598,0.047295,-0.41795,0.27057,0.13987,0.009655,-0.12706,1.0366,-1.6959,1.9234,-1.2666,1.9454,-2.3602,0.25336,-0.8264,-1.8827,-1.5057,-1.5999,-1.7759,1.5232,1.3292,5.0232,2
-0.83022,-0.69817,-0.75656,-0.68684,-0.78361,-0.69498,-1.1419,-0.8881,-1.0925,-1.1907,-1.1483,-1.0947,-0.63534,0.18693,-0.58254,-0.31165,-0.3938,1.3749,-0.5781,0.19273,0.5547,0.28936,0.5451,1.1545,-1.4059,-0.65044,-0.40206,5
-0.42941,-0.67154,-0.4623,-0.67287,-0.45172,-0.68222,-1.1362,-0.88875,-1.0721,-1.1851,-1.144,-1.094,-0.84312,2.2529,-1.1449,1.5568,-1.2282,0.093066,0.21196,0.49205,0.88211,2.4576,1.7125,-0.85134,1.3492,-0.20464,-0.77071,5
