@relation 'HTS data set-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.InfoGainAttributeEval-Sweka.attributeSelection.Ranker -T -1.7976931348623157E308 -N 23'

@attribute feature7 numeric
@attribute feature236 numeric
@attribute feature10 numeric
@attribute feature239 numeric
@attribute feature124 numeric
@attribute feature2 numeric
@attribute feature241 numeric
@attribute feature9 numeric
@attribute feature3 numeric
@attribute feature125 numeric
@attribute feature244 numeric
@attribute feature165 numeric
@attribute feature195 numeric
@attribute feature242 numeric
@attribute feature4 numeric
@attribute feature225 numeric
@attribute feature132 numeric
@attribute feature237 numeric
@attribute feature5 numeric
@attribute feature128 numeric
@attribute feature6 numeric
@attribute feature129 numeric
@attribute feature127 numeric
@attribute class {1,2,3,4,5,6,7,8,9,10}

@data
0.00698,0.005994,0.008759,0.008759,0.008042,0.009848,0.006094,0.005188,0.002526,0.002818,0.008759,5.549856,5.663535,0.001269,0.005188,5.777943,0.00824,0.001182,0.017456,1.354147,1.305196,0.005395,0.017456,6
0.007919,0.008031,0.009705,0.011398,0.007466,0.006932,0.008031,0.006638,0.000706,0.000914,0.011398,5.259995,5.175416,0.000876,0.005997,5.087924,0.011398,0.000744,0.009705,1.717784,1.195834,0.008141,0.011398,1
0.007417,0.007869,0.008957,0.015595,0.007759,0.007643,0.007862,0.006653,0.000611,0.001057,0.015595,3.179646,3.166692,0.001691,0.006607,3.157064,0.015595,0.001385,0.009781,2.234531,1.542733,0.008215,0.015595,3
0.009893,0.010206,0.011673,0.013382,0.009805,0.009459,0.010074,0.008576,0.000733,0.001117,0.013184,7.721323,7.623367,0.001483,0.008072,7.539144,0.013184,0.001301,0.011673,2.535927,1.849973,0.010267,0.013382,3
0.00818,0.008274,0.0103,0.01062,0.008322,0.00836,0.007999,0.006958,0.000691,0.00084,0.0103,9.344359,9.400258,0.000971,0.006882,9.421161,0.009827,0.000946,0.010895,1.847959,1.3906,0.007897,0.010895,3
0.009818,0.008861,0.010834,0.010864,0.010308,0.011723,0.00871,0.00856,0.002109,0.002232,0.010864,6.329683,6.441449,0.001279,0.00856,6.548002,0.009613,0.001029,0.019532,1.825055,1.639674,0.007901,0.019532,4
0.008165,0.007725,0.008804,0.009049,0.008477,0.009203,0.007581,0.007202,0.001497,0.001381,0.008911,5.19878,5.29104,0.000759,0.007202,5.369267,0.008911,0.000578,0.01564,1.678752,1.39614,0.007144,0.01564,4
0.012291,0.010379,0.014267,0.014343,0.011163,0.012275,0.009983,0.009537,0.000908,0.001972,0.014176,10.894512,11.099061,0.00261,0.009537,11.239222,0.012314,0.00216,0.014466,1.660029,1.708507,0.008342,0.014466,8
0.009469,0.009575,0.011566,0.012161,0.009268,0.008989,0.009211,0.00798,0.000636,0.000867,0.011948,7.821595,7.792948,0.00095,0.007706,7.713691,0.011948,0.000959,0.011566,2.248737,1.742214,0.009067,0.012161,3
0.010769,0.009952,0.012299,0.012985,0.010574,0.011261,0.009556,0.009491,0.000946,0.001352,0.012009,9.432146,9.540529,0.001544,0.009491,9.615724,0.011505,0.00132,0.014618,2.013031,1.798474,0.008714,0.014618,4
0.0078,0.007224,0.009201,0.009277,0.008515,0.009677,0.007154,0.005295,0.002216,0.002218,0.009277,5.588622,5.693003,0.001315,0.005295,5.795416,0.008881,0.001254,0.017807,1.627314,1.419577,0.006642,0.017807,6
0.007918,0.007338,0.009079,0.009552,0.008207,0.009132,0.007237,0.006821,0.001534,0.001543,0.009049,5.481534,5.59227,0.000897,0.006821,5.704011,0.008759,0.000832,0.015229,1.55198,1.314397,0.006748,0.015229,7
0.007092,0.006683,0.007843,0.008331,0.007369,0.00807,0.00666,0.006531,0.001209,0.001193,0.007935,5.200825,5.286426,0.000624,0.006531,5.365315,0.007935,0.000588,0.012924,1.438605,1.156008,0.006337,0.012924,7
