%
@relation HK2_Normalized.arff

@attribute feature1 REAL
@attribute feature2 REAL
@attribute feature3 REAL
@attribute feature4 REAL
@attribute feature5 REAL
@attribute feature6 REAL
@attribute feature7 REAL
@attribute feature8 REAL
@attribute feature9 REAL
@attribute feature10 REAL
@attribute feature11 REAL
@attribute feature12 REAL
@attribute feature13 REAL
@attribute feature14 REAL
@attribute feature15 REAL
@attribute feature16 REAL
@attribute feature17 REAL
@attribute feature18 REAL
@attribute feature19 REAL
@attribute feature20 REAL
@attribute feature21 REAL
@attribute feature22 REAL
@attribute feature23 REAL
@attribute feature24 REAL
@attribute feature25 REAL
@attribute class {WildType,HitMain1,HitMain2,Mitotic,NO_TET,Garbage}

@data
-0.55153,-0.76416,-0.92726,-1.1125,-0.053171,-0.54011,0.98102,0.26041,0.34668,-0.56544,3.2977,-0.56005,-0.21627,-1.3386,0.86274,-1.5845,-1.4662,-0.94926,-1.0125,-0.27794,-0.031349,0.71406,-0.36628,-0.75817,-0.83255,NO_TET
2.6784,2.0854,2.2672,1.0756,0.47198,-0.0058476,1.0517,4.8757,0.63844,0.15389,1.7562,-0.71501,0.51976,-0.51637,1.1226,-1.2736,-0.5758,-0.24896,-0.51531,-0.23356,-0.11601,-0.51551,0.44383,-0.2384,4.0645,WildType
0.50211,0.12811,0.33019,-0.54299,-0.38321,-0.7656,0.31628,-0.85088,-0.070129,-0.74388,-0.74605,-0.036818,0.64488,0.48381,0.33616,-0.0074612,0.59021,0.89049,0.92956,-0.1162,0.32909,-0.28348,0.61846,-0.45549,-1.0868,WildType
0.70231,0.27477,0.62905,-0.39834,-0.38321,-0.86514,0.59013,-0.36327,-0.1574,-0.88143,-0.88895,0.53118,0.24146,0.046194,-0.043429,1.2804,-0.079438,0.6816,0.9923,0.20726,0.66496,0.44424,0.24144,-0.21857,-0.21597,WildType
0.23531,1.6043,0.66915,1.4705,0.40837,-0.030225,0.71822,0.86142,0.74915,0.14831,2.1673,-1.2676,0.97106,0.13386,1.4656,0.48236,0.30506,0.14727,-0.39232,-0.99942,-0.83315,-1.6656,0.91943,-0.93861,-0.2026,WildType
0.065526,0.99161,0.12505,0.38229,0.55449,1.2313,0.28978,-0.78284,0.31932,0.75984,2.425,-0.45759,0.32019,-0.63801,0.88715,1.1319,-0.80164,-0.30903,-0.42209,-0.033872,0.14063,0.092073,0.23328,-0.29074,0.57901,WildType
-1.0083,-0.51334,-1.3076,-1.0916,0.69974,0.3009,0.55258,0.090316,0.74394,0.54608,5.2752,-0.65764,-1.2843,-2.3525,0.94228,-2.3317,-1.994,-2.3678,-2.4159,-0.35842,-0.39186,1.6585,-1.6051,-1.3325,-1.1247,NO_TET
0.32616,-0.20632,0.67801,0.43702,1.3641,0.73359,0.76018,0.39649,1.3626,1.245,-0.77916,-0.21437,0.853,1.4798,0.3327,1.281,1.4459,1.0296,0.9201,-0.46803,0.039108,-0.77142,0.82754,1.0921,-1.1096,HitMain1
-1.1431,-1.4522,-1.3798,-1.7498,-0.24999,-0.91796,0.42008,-0.091119,-0.080549,-0.6937,-0.25387,4.0083,-3.7122,-1.4462,-1.065,0.92507,-1.8046,-0.93635,0.50179,3.4982,2.5262,2.6431,-3.2453,-1.2046,-1.3167,NO_TET
-0.080413,-0.97113,0.099724,-0.28105,0.77881,0.84735,0.39799,-0.6581,0.88982,0.87508,-1.0659,-0.38234,0.96779,2.0892,0.49519,0.54983,2.0848,1.2979,1.0993,-0.51085,-0.034538,-0.97905,0.93013,0.094126,-0.42617,HitMain1
