@relation 'HTS data set'
@attribute 'feature1' real
@attribute 'feature2' real
@attribute 'feature3' real
@attribute 'feature4' real
@attribute 'feature5' real
@attribute 'feature6' real
@attribute 'feature7' real
@attribute 'feature8' real
@attribute 'feature9' real
@attribute 'feature10' real
@attribute 'feature11' real
@attribute 'feature12' real
@attribute 'feature13' real
@attribute 'feature14' real
@attribute 'feature15' real
@attribute 'feature16' real
@attribute 'feature17' real
@attribute 'feature18' real
@attribute 'feature19' real
@attribute 'feature20' real
@attribute 'feature21' real
@attribute 'feature22' real
@attribute 'feature23' real
@attribute 'feature24' real
@attribute 'feature25' real
@attribute 'feature26' real
@attribute 'feature27' real
@attribute 'feature28' real
@attribute 'feature29' real
@attribute 'feature30' real
@attribute 'feature31' real
@attribute 'feature32' real
@attribute 'feature33' real
@attribute 'feature34' real
@attribute 'feature35' real
@attribute 'feature36' real
@attribute 'feature37' real
@attribute 'feature38' real
@attribute 'feature39' real
@attribute 'feature40' real
@attribute 'feature41' real
@attribute 'feature42' real
@attribute 'feature43' real
@attribute 'feature44' real
@attribute 'feature45' real
@attribute 'feature46' real
@attribute 'feature47' real
@attribute 'feature48' real
@attribute class {1 2 3 4 }
@data
0.006687,0.000727,0.005690,0.000486,0.006184,0.000804,0.020253,0.004815,0.006172,0.001686,0.013075,0.008042,0.015587,0.005150,0.004518,0.001072,0.010013,0.006731,0.119517,1.109496,0.367863,0.854239,0.688358,4.980463,2.398074,1.835090,2.484069,0.619941,1.046893,-0.090523,0.460441,0.029626,0.036267,0.062906,1.406179,0.776659,3.325758,0.651135,10.068605,11.040727,2.493364,3.198217,0.742557,1.158878,-0.277667,0.803243,0.011402,0.056280,2
0.005195,0.000248,0.004980,0.000348,0.005057,0.000341,0.034249,0.018659,0.005805,0.001939,0.015359,0.017613,0.002957,0.000196,0.003239,0.000692,0.003155,0.000604,0.039518,2.042879,0.655142,2.726185,0.547150,9.635528,9.683393,2.482833,3.474379,0.854011,1.276334,-0.163380,0.682522,0.008959,0.007183,0.135497,0.865237,0.459094,0.810353,0.741736,4.666156,2.332653,1.778751,2.300038,0.538957,0.956249,-0.171423,0.592541,0.002589,0.003666,1
0.005736,0.000860,0.004908,0.000190,0.005224,0.000695,0.017774,0.005237,0.005342,0.001576,0.010057,0.007120,0.011585,0.005724,0.003346,0.000738,0.006524,0.005476,0.368470,0.651987,0.458270,0.601661,0.826778,2.808808,1.755067,1.213537,1.528419,0.496594,0.820377,-0.162169,0.486387,0.050575,0.037254,0.076541,0.893663,0.805192,2.302282,0.707538,5.716434,8.280492,2.312808,2.851128,0.489325,0.983450,-0.336680,0.827473,0.192014,0.072905,2
0.007072,0.001439,0.005435,0.000419,0.006269,0.001357,0.014199,0.003238,0.005359,0.001268,0.009787,0.005153,0.014797,0.006241,0.004415,0.001465,0.009674,0.006985,0.300406,0.533486,0.514412,0.549319,0.857655,3.090563,1.663792,1.340017,1.562415,0.430832,0.708253,-0.271758,0.623065,0.082339,0.057777,0.137345,0.889650,0.604422,1.133603,0.752123,4.901827,3.607561,1.926632,2.376763,0.578466,0.950071,-0.229749,0.679357,0.381288,0.130050,3
0.005305,0.000443,0.005028,0.000499,0.005132,0.000503,0.016650,0.003872,0.005298,0.001639,0.009191,0.006157,0.018217,0.006989,0.004746,0.001587,0.009482,0.007893,0.125213,1.083149,0.359135,0.850714,0.698998,4.781597,2.294872,1.797154,2.388102,0.627299,1.028562,-0.123353,0.519488,0.031705,0.023962,0.051150,1.123060,0.814368,3.210934,0.642018,8.681818,10.542884,2.500632,3.174564,0.508696,1.042070,-0.297552,0.822420,0.106479,0.088221,2
0.005885,0.001055,0.005007,0.000204,0.005426,0.000880,0.012206,0.002014,0.005570,0.001583,0.008657,0.003867,0.005616,0.001238,0.003360,0.000446,0.004430,0.001481,0.788177,0.326408,0.386870,0.266442,0.950126,2.221850,0.738316,0.490409,0.563797,0.309326,0.362553,-0.250331,0.386544,0.149645,0.103245,0.408403,0.489946,0.444490,0.443076,0.861892,3.704424,1.273895,1.154161,1.361602,0.395304,0.680509,-0.173251,0.478177,0.096509,0.064164,1
0.008435,0.002276,0.005467,0.001086,0.006968,0.002308,0.013900,0.002676,0.005114,0.001338,0.009568,0.004977,0.013148,0.003875,0.003781,0.001203,0.008579,0.005578,0.229866,0.513262,0.651634,0.751622,0.816347,3.593548,2.429779,1.552042,1.854104,0.360630,0.778128,-0.229790,0.620322,0.080828,0.043678,0.097419,0.829749,0.782688,1.949747,0.715018,9.069892,6.796190,2.242542,2.754807,0.453659,0.962488,-0.301498,0.790705,0.062373,0.063773,2
0.006872,0.001626,0.005354,0.001020,0.006033,0.001559,0.013197,0.002489,0.006312,0.003283,0.009372,0.004620,0.013810,0.007443,0.005278,0.004854,0.009136,0.007606,0.299559,0.891791,0.426303,0.777487,0.823184,3.143035,2.217103,1.415148,1.748683,0.703366,0.871919,-0.244858,0.621661,0.138429,0.103865,0.208231,1.298507,0.485849,1.276020,0.795286,4.047264,3.739060,1.745666,2.087900,1.009802,0.975953,-0.325587,0.746391,0.523972,0.418817,3
0.007027,0.001742,0.005142,0.000426,0.006286,0.001672,0.015352,0.003480,0.005549,0.001467,0.011425,0.005688,0.010495,0.003631,0.004453,0.001293,0.008089,0.004214,0.321663,0.558025,0.504042,0.561696,0.824729,2.928889,1.692227,1.326387,1.645948,0.410796,0.795506,-0.171928,0.516474,0.076554,0.047678,0.181358,0.428395,0.810559,1.165665,0.836957,5.167654,4.061522,1.935281,2.211062,0.310771,0.729310,-0.415598,0.833861,0.126887,0.076860,3
0.006258,0.001659,0.004789,0.000735,0.005732,0.001579,0.015642,0.003617,0.005987,0.002904,0.012096,0.005874,0.012455,0.005750,0.004358,0.004042,0.009467,0.006509,0.215423,0.995984,0.463527,0.927401,0.777222,3.435966,2.716225,1.616848,2.028020,0.714956,0.960016,-0.177985,0.572896,0.123315,0.122652,0.153386,0.801874,0.571682,0.929623,0.775880,4.102187,2.926193,1.811889,2.256004,0.548965,0.919741,-0.244622,0.684616,0.296262,0.274844,3
0.005878,0.001138,0.004765,0.000360,0.005235,0.000974,0.018962,0.005430,0.005305,0.001543,0.011110,0.007874,0.009613,0.007481,0.003561,0.001739,0.006107,0.005895,0.234001,1.060309,0.405039,0.864288,0.803383,3.460028,2.502259,1.554131,1.908266,0.822088,0.913075,-0.192667,0.579754,0.032012,0.116140,0.489776,1.194951,0.527376,1.190262,0.831230,2.929874,3.845012,1.199577,1.520226,0.978132,0.885665,-0.208013,0.553869,0.178091,1.003087,3
0.004891,0.000316,0.004503,0.000186,0.004732,0.000335,0.017882,0.004495,0.007285,0.002717,0.013502,0.006623,0.017249,0.004432,0.006224,0.002156,0.012768,0.006687,0.120292,0.808351,0.645308,1.177920,0.727554,5.625887,3.729768,2.007876,2.544660,0.462734,0.943794,-0.206623,0.670702,0.009569,0.018996,0.196022,0.423382,0.706350,0.748139,0.816250,5.454697,2.450870,1.779427,2.052743,0.281541,0.721766,-0.312033,0.733041,0.019733,0.035968,2
0.005085,0.000576,0.004229,0.000187,0.004646,0.000611,0.017075,0.002907,0.006381,0.001883,0.011520,0.005994,0.007002,0.001344,0.003692,0.000442,0.005305,0.001959,0.252334,0.533952,0.482403,0.511893,0.827635,3.389287,1.529181,1.440928,1.705153,0.394314,0.767456,-0.198373,0.560164,0.027265,0.006043,0.193764,0.551244,0.524604,0.552945,0.803571,4.725010,1.764954,1.628233,1.958586,0.378657,0.774032,-0.205043,0.604227,0.022810,0.036946,1
0.004935,0.000306,0.004412,0.000326,0.004653,0.000416,0.035141,0.018729,0.008361,0.002326,0.021487,0.019117,0.004591,0.000443,0.004425,0.000600,0.004485,0.000515,0.080576,1.149233,0.743458,2.304329,0.655702,9.952580,6.547263,2.237471,2.877588,0.565085,1.067233,-0.238386,0.750770,0.005433,0.007971,0.196143,0.478382,0.770124,1.163581,0.794282,5.803347,3.463420,1.852092,2.182922,0.299796,0.771600,-0.304733,0.748645,0.004849,0.011159,1
0.004466,0.000340,0.004342,0.000777,0.004384,0.000639,0.021477,0.004316,0.007919,0.003237,0.013342,0.007838,0.022927,0.007397,0.005795,0.003446,0.012805,0.010255,0.271619,0.583867,0.344016,0.265437,0.825414,3.259923,1.106576,1.277751,1.510360,0.438277,0.747451,-0.108753,0.414752,0.000802,0.009066,0.046546,2.805378,0.618373,4.013250,0.520123,10.877081,11.582842,2.510157,3.412517,1.227636,1.424011,-0.199445,0.732046,0.028958,0.023623,2
0.004960,0.000486,0.004444,0.000183,0.004650,0.000429,0.013131,0.002772,0.004962,0.001334,0.008173,0.004587,0.010672,0.005981,0.003986,0.000679,0.006689,0.005120,0.217578,0.739844,0.495195,0.722778,0.807709,3.497656,2.187495,1.591214,1.896121,0.549120,0.846756,-0.247305,0.643948,0.029015,0.021168,0.286190,0.959375,0.509505,0.977966,0.831166,3.296875,2.952490,1.495367,1.778445,0.780076,0.834425,-0.315052,0.696966,0.451016,0.190110,2
0.005455,0.000432,0.004913,0.000462,0.005146,0.000525,0.012316,0.002125,0.005497,0.001728,0.008501,0.003991,0.011740,0.004562,0.004826,0.001610,0.007927,0.004842,0.180705,0.976279,0.278992,0.679362,0.733603,4.153447,1.708848,1.613351,2.093326,0.620182,0.951171,-0.087810,0.420565,0.012565,0.012048,0.261080,0.685693,0.402434,0.573797,0.825259,3.495182,1.608020,1.425420,1.710899,0.528409,0.791965,-0.178867,0.534490,0.014776,0.047473,2
